chain	iteration	posterior	likelihood	aRP1	aRP2	aRP3	aJZ1	aJZ2	aJZ3	aTZ1	aTZ2	aTZ3	startP1	startP2	startP3	startZ1	startZ2	startZ3	fR	K	sdZ	sdP	fJ	d	W	q
0	16100	-146.638453	-146.638453	14.905760	6.476442	45.720862	160.326752	131.639220	91.626505	0.211025	0.225172	2.892660	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.110965	1.135842	1.103819	0.900000	0.074104	3.100514	1.350860
0	16200	-141.443140	-141.443140	16.385658	5.735927	60.128197	190.152268	122.910385	58.054611	0.119691	0.400640	2.566047	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.105481	1.124044	1.657604	0.900000	0.062810	3.614158	1.412485
0	16300	-142.045395	-142.045395	19.348362	1.426080	33.410687	172.261877	149.189129	112.556990	0.324006	0.536538	2.248774	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.107241	1.026557	1.288822	0.900000	0.027493	3.330446	1.330678
0	16400	-141.408551	-141.408551	9.742771	5.056734	46.865790	107.633186	146.118099	131.386043	0.057542	0.642175	2.114925	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.106043	1.154074	1.803554	0.900000	0.058496	3.316624	1.280798
0	16500	-144.330773	-144.330773	5.567282	4.033074	29.812360	25.804705	123.711300	127.197588	0.057542	0.967239	1.955102	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102901	1.355472	1.624377	0.900000	0.045857	2.387190	1.268773
0	16600	-141.703274	-141.703274	17.813394	2.679847	47.413488	67.178947	124.747039	152.702931	0.318985	1.008932	3.483577	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.113284	0.934579	1.629460	0.900000	0.068006	2.242828	1.249201
0	16700	-141.821660	-141.821660	19.575827	7.405092	56.708396	30.080263	95.143034	78.372323	0.013872	0.569439	2.322994	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.108492	1.312262	1.568937	0.900000	0.097346	2.222705	1.249360
0	16800	-138.719258	-138.719258	12.338621	7.956226	45.947638	68.797762	148.863704	48.373524	0.093908	1.419164	2.628953	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102494	1.285007	1.323063	0.900000	0.028790	2.405154	1.235526
0	16900	-142.483840	-142.483840	12.395636	5.519389	53.404664	88.457430	163.015127	75.937696	0.781188	1.297260	2.478292	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.111068	1.044660	1.497835	0.900000	0.019576	2.509000	1.262208
0	17000	-142.577236	-142.577236	11.855371	4.383085	46.229685	113.538883	141.872681	157.176308	0.199826	1.088678	2.836741	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.106233	1.247551	1.933540	0.900000	0.020102	2.747117	1.212964
